a			ʌ
schairer		ʃajˈɚɹ
schaja			ʃɑˈʤʌ
schake			ʃejˈk
schalk			ʃɔˈk
schall			ʃɔˈl
schaller		ʃɔˈlɚ
schallock		ʃæˈlʌk
schalow		ʃæˈlow
schama			ʃɑˈmʌ
schamber		ʃæˈmbɚ
schamberger		ʃæˈmbɚgɚ
schamel		ʃæˈmʌl
schamp			ʃæˈmp
schanbacher		ʃæˈnbɑˌkɚ
schanck		ʃæˈŋk
schaner		ʃejˈnɚ
schank			ʃæˈŋk
schantz		ʃæˈnts
schanz			ʃæˈns
schaper		ʃejˈpɚ
schapiro		ʃæˈpajɹow
schapp			ʃæˈp
schappell		ʃæˈpʌl
schappert		ʃæˈpɚt
schar			ʃɑˈɹ
schara			skæˈɹʌ
schardt		ʃɑˈɹt
scharenberg		ʃɛˈɹʌnbɚg
scharer		ʃɛˈɹɚ
scharf			ʃɑˈɹf
scharfe		skɑˈɹf
scharfenberg		ʃɑˈɹfʌnbɚg
scharff		ʃɑˈɹf
scharffenberger	ʃɑˈɹfʌnbɚgɚ
scharlau		ʃɑˈɹlaw
scharnhorst		ʃɑˈɹnhɔɹst
scharp			ʃɑˈɹp
scharpf		ʃɑˈɹpf
scharr			ʃɑˈɹ
scharrer		ʃɑˈɹɚ
schartz		ʃɑˈɹts
schattner		ʃæˈtnɚ
schatz			ʃæˈts
schatzberg		ʃæˈtsbɚg
schatzel		ʃæˈtzʌl
schatzman		ʃæˈtzmʌn
schau			ʃowˈ
schaub			ʃɔˈb
schauble		ʃowˈbʌl
schauer		ʃawˈɚ
schauf			ʃawˈf
schaufler		ʃawˈfʌlɚ
schaufler(1)		ʃawˈflɚ
schaul			ʃowˈl
schaum			ʃowˈm
schaumberg		ʃowˈmbɚg
schaumburg		ʃawˈmbɚg
schaus			skawˈs
schaut			ʃowˈt
schave			ʃejˈv
schear			ʃɪˈɹ
schechter		ʃɛˈktɚ
schechtman		ʃɛˈktmʌn
scheck			ʃɛˈk
scheckel		ʃɛˈkʌl
schecter		ʃɛˈktɚ
schedler		ʃɛˈdʌlɚ
schedler(1)		ʃɛˈdlɚ
schedule		skɛˈʤʊl
schedule(1)		skɛˈʤul
scheduled		skɛˈʤʊld
scheduled(1)		skɛˈʤuld
scheduler		skɛˈʤʊlɚ
scheduler(1)		skɛˈʤulɚ
schedulers		skɛˈʤʊlɚz
schedulers(1)		skɛˈʤulɚz
schedules		skɛˈʤʊlz
schedules(1)		skɛˈʤulz
scheduling		skɛˈʤʊlɪŋ
scheduling(1)		skɛˈʤulɪŋ
scheel			ʃiˈl
scheele		ʃiˈl
scheeler		ʃiˈlɚ
scheer			ʃɪˈɹ
scheerer		ʃɪˈɹɚ
scheets		ʃiˈts
scheetz		ʃiˈts
scheff			ʃɛˈf
scheffel		ʃɛˈfʌl
scheffer		ʃɛˈfɚ
scheffler		ʃɛˈfʌlɚ
scheffler(1)		ʃɛˈflɚ
schehr			ʃɛˈɹ
scheib			ʃajˈb
scheibe		ʃajˈb
scheibel		ʃajˈbʌl
scheiber		ʃajˈbɚ
scheible		skajˈbʌl
scheibner		ʃajˈbnɚ
scheid			ʃajˈd
scheidecker		ʃajˈdɪkɚ
scheidegger		ʃajˈdɪgɚ
scheidel		ʃajˈdʌl
scheider		ʃajˈdɚ
scheiderer		ʃajˈdɚɚ
scheidler		ʃajˈdʌlɚ
scheidler(1)		ʃajˈdlɚ
scheidt		ʃajˈt
scheier		ʃajˈɚ
scheiman		ʃajˈmʌn
schein			ʃajˈn
scheinberg		ʃajˈnbɚg
scheiner		ʃajˈnɚ
scheirer		ʃajˈɚɹ
scheler		ʃiˈlɚ
schelin		ʃɛˈlɪn
schell			skɛˈl
schellenberg		ʃɛˈlʌnbɚg
schellenberger		ʃɛˈlʌnbɚgɚ
schellenger		ʃɛˈlɪnʤɚ
scheller		skɛˈlɚ
schellhammer		ʃɛˈlhʌmɚ
schellhase		ʃɛˈlhʌs
schellhorn		ʃɛˈlhɚn
schelling		skɛˈlɪŋ
schellinger		ʃɛˈlɪŋɚ
schemata		skɪmæˈtʌ
schematic		skɪmæˈtɪk
schembri		ʃɛˈmbɹi
scheme			skiˈm
schemed		skiˈmd
schemel		ʃɛˈmʌl
schemer		skiˈmɚ
schemes		skiˈmz
scheming		skiˈmɪŋ
schemm			ʃɛˈm
schemmel		ʃɛˈmʌl
schempf		ʃɛˈmf
schempp		ʃɛˈmp
schena			ʃiˈnʌ
schenck		ʃɛˈŋk
schendel		ʃɛˈndʌl
schenectady		skʌnɛˈktʌdi
schenectady's		skʌnɛˈktʌdiz
schenk			ʃɛˈŋk
schenkel		ʃɛˈŋkʌl
schenken		ʃɛˈŋkʌn
schenker		ʃɛˈŋkɚ
schenley		ʃɛˈnli
scheper		ʃiˈpɚ
schepers		ʃiˈpɚz
schepis		ʃɛˈpɪs
schepp			ʃɛˈp
scher			ʃɚˈ
scherb			ʃɚˈb
scherbarth		ʃɚˈbɑɹθ
scherer		ʃɪˈɹɚ
scherer's		ʃɛˈɹɚz
scherf			ʃɚˈf
scherff		ʃɚˈf
scherger		ʃɚˈgɚ
schering		ʃɚˈɪŋ
schering(1)		ʃɛˈɹɪŋ
schering's		ʃɛˈɹɪŋz
scherlis		ʃɚˈlɪs
scherman		ʃɚˈmʌn
schermer		ʃɚˈmɚ
schermerhorn		ʃɚˈmɚhɚn
scherr			ʃɛˈɹ
scherrer		ʃɛˈɹɚ
schertz		ʃɚˈts
schertzer		ʃɚˈtsɚ
scherz			ʃɚˈz
scherzer		ʃɚˈzɚ
scherzinger		ʃɚˈzɪŋɚ
schetter		ʃɛˈtɚ
schettino		ʃɛˈtinow
schettler		ʃɛˈtʌlɚ
schettler(1)		ʃɛˈtlɚ
scheu			ʃɔjˈ
scheuer		ʃɔjˈɚ
scheuerman		ʃɔjˈɚmʌn
scheuermann		ʃɔjˈɚmʌn
scheufler		ʃɔjˈfʌlɚ
scheufler(1)		ʃɔjˈflɚ
scheunemann		ʃɔjˈnmʌn
scheurer		ʃɚˈɚ
scheurich		ʃɔjˈɹɪk
scheuring		ʃɚˈɪŋ
scheve			ʃiˈv
schewe			ʃjuˈ
schexnayder		ʃɛˈksnejdɚ
schexnider		ʃɛˈksnajdɚ
schey			ʃejˈ
schiano		skiɑˈnow
schiappa		skiɑˈpʌ
schiavi		skiɑˈvi
schiavo		skiɑˈvow
schiavo's		skiɑˈvowz
schiavone		skiɑvowˈni
schiavoni		skiɑvowˈni
schick			ʃɪˈk
schicker		ʃɪˈkɚ
schickler		ʃɪˈkʌlɚ
schickler(1)		ʃɪˈklɚ
schickling		ʃɪˈkʌlɪŋ
schickling(1)		ʃɪˈklɪŋ
schiebel		ʃiˈbʌl
schieber		ʃiˈbɚ
schiefelbein		ʃiˈfɪlbajn
schiefer		ʃiˈfɚ
schieffelin		ʃiˈfʌlɪn
schieffer		ʃiˈfɚ
schiel			ʃiˈl
schield		ʃiˈld
schiele		ʃiˈl
schielke		ʃiˈlk
schiemann		ʃiˈmʌn
schier			ʃajˈɚ
schieren		ʃɪˈɹʌn
schierl		ʃɪˈɹl
schiess		ʃiˈs
schiesser		ʃiˈsɚ
schiewe		ʃiˈwi
schifano		skifɑˈnow
schiferon		ʃɪˈfɚɔˌn
schiferon(1)		ʃɪˈfɹɔˌn
schiferon's		ʃɪˈfɚɔˌnz
schiferon's(1)		ʃɪˈfɹɔˌnz
schiff			ʃɪˈf
schiffbauer		ʃɪˈfbawɚ
schiffer		ʃɪˈfɚ
schiffler		ʃɪˈfʌlɚ
schiffler(1)		ʃɪˈflɚ
schiffman		ʃɪˈfmʌn
schiffner		ʃɪˈfnɚ
schild			ʃajˈld
schilder		ʃajˈldɚ
schildknecht		ʃajˈldkʌnɛˌkt
schildt		ʃɪˈlt
schilke		ʃɪˈlk
schill			ʃɪˈl
schillaci		skilɑˈʧi
schiller		ʃɪˈlɚ
schiller's		ʃɪˈlɚz
schilling		ʃɪˈlɪŋ
schilling's		ʃɪˈlɪŋz
schillinger		ʃɪˈlɪŋɚ
schillings		ʃɪˈlɪŋz
schillo		skɪˈlow
schilt			ʃɪˈlt
schiltknecht		ʃɪˈltnɛˌkt
schiltz		ʃɪˈlts
schilz			ʃɪˈlz
schimberni		ʃɪmbɚˈni
schimek		ʃɪˈmɪk
schimke		skɪˈmk
schimmel		ʃɪˈmʌl
schimmelbusch		ʃɪˈmʌlbʊˌʃ
schimming		ʃɪˈmɪŋ
schimpf		ʃɪˈmpf
schindel		ʃɪˈndʌl
schindler		ʃɪˈndlɚ
schindler's		ʃɪˈndlɚz
schinke		skɪˈŋk
schinkel		ʃɪˈŋkʌl
schipani		skipɑˈni
schiphol		skɪˈpʌl
schipke		ʃɪˈpki
schipper		ʃɪˈpɚ
schippers		ʃɪˈpɚz
schiraldi		skɪɹɑˈldi
schirm			ʃɚˈm
schirmer		ʃɚˈmɚ
schiro			skɪˈɹow
schirtzinger		ʃɚˈtzɪŋɚ
schisler		ʃɪˈsʌlɚ
schisler(1)		ʃɪˈslɚ
schism			skɪˈzʌm
schisms		skɪˈzʌmz
schissel		ʃɪˈsʌl
schissler		ʃɪˈsʌlɚ
schissler(1)		ʃɪˈslɚ
schist			ʃɪˈst
schists		ʃɪˈsts
schizophrenia		skɪˌtsʌfɹiˈniʌ
schizophrenic		ʃɪˌzʌfɹɛˈnɪk
schlabach		ʃlæˈbɑk
schlachter		ʃlæˈktɚ
schlack		ʃlæˈk
schlafer		ʃlejˈfɚ
schlafly		ʃlæˈfli
schlag			ʃlæˈg
schlagel		ʃlæˈgʌl
schlager		ʃlejˈgɚ
schlageter		ʃlæˈgitɚ
schlake		ʃlejˈk
schlang		ʃlæˈŋ
schlangen		ʃlæˈŋʌn
schlanger		ʃlæˈŋɚ
schlarb		ʃlɑˈɹb
schlater		ʃlejˈtɚ
schlatter		ʃlæˈtɚ
schlauch		ʃlawˈk
schlecht		ʃlɛˈkt
schlechter		ʃlɛˈktɚ
schlee			ʃliˈ
schleeter		ʃliˈtɚ
schlegel		ʃlejˈgʌl
schlegelmilch		ʃlɛˈgɪlmɪlk
schleich		ʃlajˈk
schleicher		ʃlajˈkɚ
schleif		ʃlajˈf
schleifer		ʃlajˈfɚ
schleiger		ʃlajˈgɚ
schleimer		ʃlajˈmɚ
schlein		ʃlajˈn
schleis		ʃlajˈz
schlemmer		ʃlɛˈmɚ
schlender		ʃlɛˈndɚ
schlenker		ʃlɛˈŋkɚ
schlepp		ʃlɛˈp
schlereth		ʃlɛˈɹɪθ
schlesinger		ʃlɛˈsɪnʤɚ
schlesser		ʃlɛˈsɚ
schlessinger		ʃlɛˈsɪnʤɚ
schleswig		ʃlɛˈswɪg
schley			ʃlejˈ
schleyer		ʃlejˈɚ
schlicher		ʃlɪˈkɚ
schlicht		ʃlɪˈkt
schlichter		ʃlɪˈktɚ
schlichting		ʃlɪˈktɪŋ
schlick		ʃlɪˈk
schlicker		ʃlɪˈkɚ
schlict		ʃlɪˈkt
schlie			ʃliˈ
schliep		ʃliˈp
schlieper		ʃliˈpɚ
schlink		ʃlɪˈŋk
schlitt		ʃlɪˈt
schlitter		ʃlɪˈtɚ
schlitz		ʃlɪˈts
schlobohm		ʃlɑˈbowm
schlock		ʃlɑˈk
schloemer		ʃlowˈmɚ
schloesser		ʃlɑˈɪsɚ
schloesser(1)		ʃlɑˈsɚ
schlosberg		ʃlɑˈsbɚg
schloss		ʃlɔˈs
schlossberg		ʃlɔˈsbɚg
schlosser		ʃlɔˈsɚ
schlossman		ʃlɔˈsmʌn
schlott		ʃlɑˈt
schlotter		ʃlɑˈtɚ
schlotterbeck		ʃlɑˈtɚbɛk
schlottman		ʃlɑˈtmʌn
schlotzhauer		ʃlɑˈtshawɚ
schlough		ʃlawˈ
schlueter		ʃlʊˈtɚ
schlumberger		ʃlʌˈmbɚʒejˌ
schlumberger(1)	ʃlʌˈmbɚgɚ
schlund		ʃlʌˈnd
schlup			ʃlʌˈp
schluter		ʃluˈtɚ
schmader		ʃmejˈdɚ
schmahl		ʃmɑˈl
schmal			ʃmæˈl
schmale		ʃmejˈl
schmall		ʃmɔˈl
schmaltz		ʃmɑˈlts
schmalz		ʃmɔˈlz
schmancy		ʃmæˈnsi
schmaus		ʃmawˈz
schmead		ʃmiˈd
schmechel		ʃmɛˈkʌl
schmeck		ʃmɛˈk
schmehl		ʃmɛˈl
schmeichel		ʃmajˈkʌl
schmeiser		ʃmajˈsɚ
schmeling		ʃmɛˈlɪŋ
schmelter		ʃmɛˈltɚ
schmeltz		ʃmɛˈlts
schmeltzer		ʃmɛˈltzɚ
schmelz		ʃmɛˈlz
schmelzer		ʃmɛˈlzɚ
schmelzle		ʃmɛˈlzʌl
schmergel		ʃmɚˈgʌl
schmertz		ʃmɚˈts
schmetterer		ʃmɛˈtɚɚ
schmick		ʃmɪˈk
schmid			ʃmɪˈd
schmiddy		ʃmɪˈdi
schmidgall		ʃmɪˈʤʌl
schmidl		ʃmɪˈdʌl
schmidlin		ʃmɪˈdlɪn
schmidt		ʃmɪˈt
schmidt's		ʃmɪˈts
schmidtke		ʃmɪˈtki
schmied		ʃmajˈd
schmieder		ʃmajˈdɚ
schmieg		ʃmiˈg
schmierer		ʃmajˈɚɚ
schmiesing		ʃmiˈsɪŋ
schmit			ʃmɪˈt
schmitt		ʃmɪˈt
schmitter		ʃmɪˈtɚ
schmittou		ʃmɪˈʧu
schmitz		ʃmɪˈts
schmitzer		ʃmɪˈtsɚ
schmoke		ʃmowˈk
schmoker		ʃmowˈkɚ
schmoldt		ʃmowˈlt
schmoll		ʃmɑˈl
schmooze		ʃmuˈz
schmoozing		ʃmuˈzɪŋ
schmotzer		ʃmowˈtzɚ
schmoyer		ʃmɔjˈɚ
schmuck		ʃmʌˈk
schmucker		ʃmʌˈkɚ
schmuckler		ʃmʌˈklɚ
schmuhl		ʃmʌˈl
schmults		ʃmʌˈlts
schmunk		ʃmʌˈŋk
schmutz		ʃmʌˈts
schmutzler		ʃmʌˈtzʌlɚ
schmutzler(1)		ʃmʌˈtzlɚ
schnabel		ʃnæˈbʌl
schnack		ʃnæˈk
schnackenberg		ʃnæˈkʌnbɚg
schnake		ʃnejˈk
schnakenberg		ʃnejˈkʌnbɚg
schnall		ʃnɔˈl
schnapp		ʃnæˈp
schnapps		ʃnæˈps
schnarr		ʃnæˈɹ
schnauzer		ʃnawˈzɚ
schneberger		ʃniˈbɚgɚ
schnebly		ʃnɛˈbli
schneck		ʃnɛˈk
schneckloth		ʃnɛˈklʌθ
schnee			ʃniˈ
schneeberger		ʃniˈbɚgɚ
schneeman		ʃniˈmʌn
schneerson		ʃnɪˈɹsʌn
schneerson's		ʃnɪˈɹsʌnz
schneid		ʃnajˈd
schneider		ʃnajˈdɚ
schneider's		ʃnajˈdɚz
schneiderman		ʃnajˈdɚmʌn
schneiderman's		ʃnajˈdɚmʌnz
schneiders		ʃnajˈdɚz
schneiders'		ʃnajˈdɚz
schneidewind		ʃnajˈdʌwɪˌnd
schneidewind's		ʃnajˈdʌwɪˌndz
schneier		ʃnajˈɚ
schneiter		ʃnajˈtɚ
schnell		ʃnɛˈl
schnelle		ʃnɛˈl
schneller		ʃnɛˈlɚ
schnepf		ʃnɛˈpf
schnepp		ʃnɛˈp
schnettler		ʃnɛˈtʌlɚ
schnettler(1)		ʃnɛˈtlɚ
schnetzer		ʃnɛˈtzɚ
schnick		ʃnɪˈk
schnider		ʃnajˈdɚ
schnieder		ʃnajˈdɚ
schnieders		ʃnajˈdɚz
schnier		ʃnajˈɚ
schnitker		ʃnɪˈtkɚ
schnittke		ʃnɪˈtki
schnitz		ʃnɪˈts
schnitzer		ʃnɪˈtzɚ
schnitzler		ʃnɪˈtslɚ
schnoebelen		ʃnowˈbʌlʌn
schnook		ʃnʊˈk
schnooks		ʃnʊˈks
schnoor		ʃnʊˈɹ
schnorr		ʃnɔˈɹ
schnur			ʃnɚˈ
schnurr		ʃnɚˈ
schnyder		ʃnajˈdɚ
schnyder's		ʃnajˈdɚz
schobel		ʃowˈbʌl
schober		ʃowˈbɚ
schobert		ʃɑˈbɚt
schoch			ʃɑˈk
schock			ʃɑˈk
schoeck		ʃowˈk
schoeffler		ʃowˈfʌlɚ
schoeffler(1)		ʃowˈflɚ
schoeller		ʃowˈlɚ
schoellhorn		ʃowˈlhɔˌɹn
schoemaker		ʃowˈmejˌkɚ
schoen			ʃowˈn
schoenbaum		ʃowˈnbawˌm
schoenbeck		ʃowˈnbɛˌk
schoenberg		ʃowˈnbɚg
schoenberger		ʃowˈnbɚgɚ
schoenborn		ʃowˈnbɚn
schoendorf		ʃowˈndɔɹf
schoene		ʃɑˈin
schoeneck		ʃowˈnɛk
schoenecker		ʃowˈnɛkɚ
schoeneman		ʃɑˈinmʌn
schoenemann		ʃɑˈinmʌn
schoener		ʃowˈnɚ
schoenfeld		ʃowˈnfɛˌld
schoenfelder		ʃowˈnfɛldɚ
schoenfeldt		ʃowˈnfɪlt
schoenhals		ʃowˈnhʌlz
schoenherr		ʃowˈnhɚ
schoenhof		ʃowˈnhɑˌf
schoenhof's		ʃowˈnhɑˌfs
schoenholtz		ʃowˈnhowˌlts
schoenig		ʃowˈnɪg
schoening		ʃɑˈʌnɪŋ
schoenrock		ʃowˈnɹʌk
schoenthal		ʃowˈnθɔˌl
schoenwald		ʃowˈnwɔˌld
schoepe		ʃowˈp
schoepf		ʃowˈp
schoepke		ʃowˈpki
schoepp		ʃowˈp
schoeppner		ʃowˈpnɚ
schoettle		ʃowˈtʌl
schoff			ʃɔˈf
schoffstall		ʃɔˈfstʌl
schofield		skowˈfild
scholar		skɑˈlɚ
scholar's		skɑˈlɚz
scholarly		skɑˈlɚli
scholars		skɑˈlɚz
scholarship		skɑˈlɚʃɪˌp
scholarships		skɑˈlɚʃɪˌps
scholastic		skʌlæˈstɪk
scholberg		ʃowˈlbɚg
scholer		ʃowˈlɚ
scholes		skowˈlz
scholey		ʃowˈli
scholfield		skowˈlfiˌld
scholl			ʃɑˈl
scholle		ʃowˈl
scholler		ʃɑˈlɚ
schollmeyer		ʃɑˈlmajɚ
scholten		ʃowˈltʌn
scholtes		ʃowˈlts
scholtz		ʃowˈlts
scholz			ʃowˈlz
scholze		ʃowˈlz
schomaker		ʃowˈmejˌkɚ
schomberg		ʃɑˈmbɚg
schomburg		ʃɑˈmbɚg
schomer		ʃowˈmɚ
schommer		ʃɑˈmɚ
schon			ʃɑˈn
schonberg		ʃɑˈnbɚg
schonberger		ʃɑˈnbɚgɚ
schone			ʃowˈn
schoneman		ʃowˈnmʌn
schonfeld		ʃɑˈnfɛˌld
schons			ʃɑˈnz
schoo			ʃuˈ
schoof			ʃʊˈf
schook			ʃʊˈk
school			skuˈl
school's		skuˈlz
schoolbook		skuˈlbʊˌk
schoolbooks		skuˈlbʊˌks
schoolboy		skuˈlbɔjˌ
schoolboys		skuˈlbɔjˌz
schoolbus		skuˈlbʌˌs
schoolchild		skuˈlʧajˌld
schoolchildren		skuˈlʧɪˌldɹʌn
schoolcraft		skuˈlkɹæˌft
schooled		skuˈld
schooler		skuˈlɚ
schoolers		skuˈlɚz
schooley		skuˈli
schoolfield		skuˈlfiˌld
schoolhouse		skuˈlhawˌs
schooling		skuˈlɪŋ
schoolmaster		skuˈlmæˌstɚ
schoolmate		skuˈlmejˌt
schoolmates		skuˈlmejˌts
schoolroom		skuˈlɹuˌm
schools		skuˈlz
schools'		skuˈlz
schoolteacher		skuˈltiˌʧɚ
schoolteachers		skuˈltiˌʧɚz
schooltime		skuˈltajˌm
schoolwork		skuˈlwɚˌk
schoolyard		skuˈljɑˌɹd
schoon			skuˈn
schooner		skuˈnɚ
schooners		skuˈnɚz
schoonmaker		ʃuˈnmejkɚ
schoonover		ʃuˈnʌvɚ
schopf			ʃɑˈpf
schopfer		ʃɑˈpfɚ
schopp			ʃɑˈp
schoppe		ʃɑˈp
schor			ʃɔˈɹ
schork			ʃɔˈɹk
schorn			ʃɔˈɹn
schorr			ʃɔˈɹ
schorr's		ʃɔˈɹz
schorsch		ʃɔˈɹʃ
schott			ʃɑˈt
schott's		ʃɑˈts
schottenstein		ʃɑˈtʌnstiˌn
schottenstein(1)	ʃɑˈtʌnstajˌn
schou			ʃuˈ
schouten		ʃɑˈutʌn
schow			ʃawˈ
schowalter		ʃawˈʌltɚ
schrack		ʃɹæˈk
schrade		ʃɹejˈd
schrader		ʃɹejˈdɚ
schraeder		ʃɹɛˈdɚ
schrag			ʃɹæˈg
schrage		ʃɹejˈʤ
schrager		ʃɹejˈgɚ
schram			ʃɹæˈm
schramm		ʃɹæˈm
schrandt		ʃɹæˈnt
schrank		ʃɹæˈŋk
schrantz		ʃɹæˈnts
schranz		ʃɹæˈns
schraufnagel		ʃɹawˈfnʌgʌl
schrecengost		ʃɹɛˈsɪŋgʌst
schreck		ʃɹɛˈk
schreckengost		ʃɹɛˈkɪŋgʌst
schrecongost		ʃɹɛˈkʌŋgʌst
schreder		ʃɹiˈdɚ
schreffler		ʃɹɛˈfʌlɚ
schreffler(1)		ʃɹɛˈflɚ
schreger		ʃɹɛˈgɚ
schreiber		ʃɹajˈbɚ
schreibman		ʃɹajˈbmʌn
schreier		ʃɹajˈɚ
schreifels		ʃɹajˈfʌlz
schreiner		ʃɹajˈnɚ
schreiter		ʃɹajˈtɚ
schremp		ʃɹɛˈmp
schrempf		ʃɹɛˈmpf
schrempp		ʃɹɛˈmp
schrenk		ʃɹɛˈŋk
schreur		ʃɹɚˈ
schreurs		ʃɹɚˈz
schreyer		ʃɹajˈɹ
schriber		ʃɹajˈbɚ
schrick		ʃɹɪˈk
schricker		ʃɹɪˈkɚ
schrieber		ʃɹiˈbɚ
schriefer		ʃɹiˈfɚ
schrier		ʃɹajˈɚ
schriever		ʃɹiˈvɚ
schrimpf		ʃɹɪˈmpf
schrimsher		ʃɹɪˈmʃɚ
schriner		ʃɹajˈnɚ
schriver		ʃɹajˈvɚ
schroader		ʃɹowˈdɚ
schrock		ʃɹɑˈk
schroder		ʃɹowˈdɚ
schroders		ʃɹowˈdɚz
schrodt		ʃɹɑˈt
schroeck		ʃɹowˈk
schroeder		ʃɹowˈdɚ
schroeder's		ʃɹowˈdɚz
schroedl		ʃɹowˈdʌl
schroepfer		ʃɹowˈpfɚ
schroer		ʃɹowˈɚ
schroeter		ʃɹowˈtɚ
schroff		ʃɹɔˈf
schroll		ʃɹowˈl
schrom			ʃɹɑˈm
schronce		ʃɹɑˈns
schropp		ʃɹɑˈp
schroth		ʃɹɔˈθ
schroyer		ʃɹɔjˈɚ
schrum			ʃɹʌˈm
schrumpf		ʃɹʌˈmpf
schrupp		ʃɹʌˈp
schryer		ʃɹajˈɚ
schryver		ʃɹajˈvɚ
schtick		ʃtɪˈk
schubach		ʃʌˈbɑk
schubel		ʃuˈbʌl
schubert		ʃuˈbɚt
schubert's		ʃuˈbɚts
schubring		ʃʌˈbɚɪŋ
schuch			ʃʌˈk
schuchard		ʃʌˈkɚd
schuchardt		ʃʌˈkɑɹt
schuchart		ʃʌˈkhɑɹt
schuchert		skʌˈʧɚt
schuchman		ʃʌˈkmʌn
schuchmann		ʃʌˈkmʌn
schuck			ʃʌˈk
schucker		ʃʌˈkɚ
schuckman		ʃʌˈkmʌn
schue			ʃuˈ
schuele		ʃuˈl
schueler		ʃuˈlɚ
schuelke		ʃuˈlk
schueller		ʃuˈlɚ
schueneman		ʃuˈnʌmʌn
schuenemann		ʃuˈnʌmʌn
schuerman		ʃuˈɚmʌn
schuermann		ʃuˈɚmʌn
schuessler		ʃuˈslɚ
schuett		skuˈt
schuette		skuˈt
schuetz		ʃuˈts
schuetze		ʃuˈts
schuff			ʃʌˈf
schug			ʃʌˈg
schuh			ʃuˈ
schuhmacher		ʃuˈmɑkɚ
schuhmann		ʃuˈmʌn
schuitema		ʃuˈtɪmʌ
schuknecht		ʃʌˈknɪkt
schul			ʃʊˈl
schuld			ʃʊˈd
schuldener		ʃuˈldʌnɚ
schuldener's		ʃuˈldʌnɚz
schulder		ʃuˈldɚ
schuldt		ʃʊˈlt
schulenberg		ʃuˈlʌnbɚg
schulenburg		ʃuˈlʌnbɚg
schuler		ʃuˈlɚ
schulhauf		ʃuˈlhɑf
schulhaufs		ʃuˈlhɑfs
schulhof		ʃuˈlhɔf
schulke		ʃʊˈlki
schull			ʃʊˈl
schuller		ʃuˈlɚ
schulman		ʃuˈlmʌn
schulof		ʃuˈlɔf
schult			ʃʌˈlt
schulte		ʃʌˈlt
schulten		ʃʌˈltʌn
schultes		ʃʌˈlts
schultheis		ʃʌˈlðajz
schultheiss		ʃʌˈlθajs
schultz		ʃʊˈlts
schultze		ʃʌˈltz
schulz			ʃʊˈlts
schulze		ʃʊˈlts
schum			ʃʌˈm
schumacher		ʃuˈmɑˌkɚ
schumacker		ʃuˈmɑˌkɚ
schumaker		ʃuˈmejˌkɚ
schuman		ʃuˈmʌn
schumann		ʃuˈmʌn
schumann's		ʃuˈmʌnz
schumer		ʃuˈmɚ
schumer's		ʃuˈmɚz
schumm			ʃʌˈm
schumpert		ʃʌˈmpɚt
schundler		ʃʌˈndlɚ
schuneman		ʃuˈnmʌn
schunk			ʃʌˈŋk
schupak		ʃuˈpæˌk
schupbach		ʃʌˈpbɑˌk
schupp			ʃʌˈp
schur			ʃɚˈ
schuring		ʃɚˈɪŋ
schurman		ʃɚˈmʌn
schurr			ʃɚˈ
schurrenberg		ʃɚˈʌnbɚg
schussler		ʃʌˈslɚ
schuster		ʃuˈstɚ
schut			ʃʌˈt
schuth			ʃuˈθ
schutt			ʃʌˈt
schutte		skʌˈt
schutter		ʃʌˈtɚ
schuttler		ʃʌˈtlɚ
schutz			ʃʌˈts
schutz's		ʃʌˈtsɪz
schutzman		ʃʌˈtzmʌn
schuur			ʃʊˈɹ
schuyler		skajˈlɚ
schuylkill		skjuˈlkɪˌl
schwab			ʃwɑˈb
schwab's		ʃwɑˈbz
schwabe		ʃwɔˈb
schwaderer		ʃwɔˈdɚɚ
schwager		ʃwejˈgɚ
schwahn		ʃwɔˈn
schwaiger		ʃwajˈgɚ
schwake		ʃwejˈk
schwalb		ʃwɔˈlb
schwalbach		ʃwɔˈlbɑˌk
schwalbe		ʃwɔˈlb
schwalier		ʃwɑˈljɚ
schwall		ʃwɔˈl
schwaller		ʃwɔˈlɚ
schwalm		ʃwɑˈlm
schwam			ʃwɔˈm
schwan			ʃwɔˈn
schwandt		ʃwɔˈnt
schwanke		ʃwɔˈŋk
schwantes		ʃwɔˈnts
schwanz		ʃwɔˈns
schwark		ʃwɔˈɹk
schwarm		ʃwɔˈɹm
schwartz		ʃwɔˈɹts
schwartzberg		ʃwɔˈɹtsbɚg
schwartzberg's		ʃwɔˈɹtsbɚgz
schwartzchild		ʃwɔˈɹtsʧajˌld
schwartzkopf		ʃwɔˈɹtskɔpf
schwartzkopf(1)	ʃwɔˈɹtskɔf
schwartzman		ʃwɔˈɹtsmʌn
schwarz		ʃwɔˈɹts
schwarze		ʃwɔˈɹts
schwarzenegger		ʃwɔˈɹzʌnejˌgɚ
schwarzenegger's	ʃwɔˈɹzʌnejˌgɚz
schwarzer		ʃwɔˈɹtsɚ
schwarzkopf		ʃwɔˈɹtskɔpf
schwarzkopf(1)		ʃwɔˈɹtskɔf
schwarzkopf's		ʃwɔˈɹtskɔpfs
schwarzkopf's(1)	ʃwɔˈɹtskɔfs
schwarzman		ʃwɔˈɹtsmʌn
schwebach		ʃwɛˈbɑˌk
schwebel		ʃwɛˈbʌl
schwebke		ʃwɛˈbk
schwed			ʃwɛˈd
schweda		ʃwiˈdʌ
schwede		ʃwiˈd
schweder		ʃwiˈdɚ
schweer		ʃwɪˈɹ
schweers		ʃwɪˈɹz
schwegel		ʃwɛˈgʌl
